Action,Time,ISIN,Ticker,Name,Notes,ID,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Charge amount,Currency (Charge amount),Deposit fee,Currency (Deposit fee),Stamp duty reserve tax,Currency (Stamp duty reserve tax),Currency conversion fee,Currency (Currency conversion fee)
Market buy,2025-02-11 14:37:02.448,US67066G1040,NVDA,"Nvidia",,EOF28001741363,0.1542252000,133.7900000000,USD,1.03323933,,"EUR",20.00,"EUR",,,,,,,,,0.03,"EUR"
Market buy,2025-02-12 14:36:46.158,US67066G1040,NVDA,"Nvidia",,EOF28051583071,0.1578005000,130.9900000000,USD,1.03506697,,"EUR",20.00,"EUR",,,,,,,,,0.03,"EUR"
Market buy,2025-02-13 14:35:42.563,US67066G1040,NVDA,"Nvidia",,EOF28100149988,0.1558620000,133.1100000000,USD,1.03889788,,"EUR",20.00,"EUR",,,,,,,,,0.03,"EUR"
Market buy,2025-02-14 14:36:50.098,US67066G1040,NVDA,"Nvidia",,EOF28150938193,0.1530873000,137.0100000000,USD,1.05029999,,"EUR",20.00,"EUR",,,,,,,,,0.03,"EUR"
Market buy,2025-02-18 14:36:04.054,US67066G1040,NVDA,"Nvidia",,EOF28353233640,0.1457571000,143.1600000000,USD,1.04489666,,"EUR",20.00,"EUR",,,,,,,,,0.03,"EUR"
Market buy,2025-02-18 14:36:04.384,US67066G1040,NVDA,"Nvidia",,EOF28353233649,0.4371431000,143.2000000000,USD,1.04488218,,"EUR",60.00,"EUR",,,,,,,,,0.09,"EUR"
Market buy,2025-02-18 17:10:08.667,US48251W1045,KKR,"KKR & Co",,EOF28356967962,7.4000000000,141.0000000000,USD,1.04490466,,"EUR",1000.06,"EUR",,,,,,,,,1.50,"EUR"
Market buy,2025-02-18 17:11:55.547,US67066G1040,NVDA,"Nvidia",,EOF28356968256,2.1652407000,139.9600000000,USD,1.04506203,,"EUR",290.41,"EUR",,,,,,,,,0.43,"EUR"
Market sell,2025-02-26 18:02:00.056,US67066G1040,NVDA,"Nvidia",,EOF28753472628,7.0000000000,131.3700000000,USD,1.04932904,13.78,"EUR",875.05,"EUR",,,,,,,,,1.31,"EUR"
Market buy,2025-02-27 16:43:56.019,US67066G1040,NVDA,"Nvidia",,EOF28802686076,7.1915890000,126.5500000000,USD,1.04160916,,"EUR",875.05,"EUR",,,,,,,,,1.31,"EUR"
Market sell,2025-02-28 08:36:23.105,LU1781540957,LCUS,"Lyxor Core US Equity DR (Dist)",,EOF28806913553,9.6684560000,17.5673650000,GBP,0.82563336,5.89,"EUR",205.72,"EUR",,,,,,,,,,
Market buy,2025-02-28 09:55:45.78,GB00B15KYH63,AIGAP,"WisdomTree Agriculture",,EOF28806930096,24.5265700000,6.0677000000,EUR,1.00000000,,"EUR",148.82,"EUR",,,,,,,,,,
